source,target,type
1244029147,56681438,follows
1648853647,56681438,follows
15110769,56681438,follows
1229925007,56681438,follows
49413866,56681438,follows
295665368,56681438,follows
136815135,56681438,follows
1413875005,56681438,follows
2201150923,56681438,follows
43891997,56681438,follows
559127934,56681438,follows
504885612,56681438,follows
39034870,56681438,follows
2174735791,56681438,follows
485786493,56681438,follows
1552446536,56681438,follows
2161471262,56681438,follows
20302047,56681438,follows
186167915,56681438,follows
476083165,56681438,follows
1973969053,56681438,follows
127694743,56681438,follows
926082228,56681438,follows
306753520,56681438,follows
1259994006,56681438,follows
69074311,56681438,follows
244132172,56681438,follows
51394078,56681438,follows
972224004,56681438,follows
1004486178,56681438,follows
53944421,56681438,follows
919599445,56681438,follows
99975967,56681438,follows
457579729,56681438,follows
215388979,56681438,follows
1857611256,56681438,follows
376911232,56681438,follows
316332017,56681438,follows
1430377880,56681438,follows
1721935242,56681438,follows
1708196562,56681438,follows
135139800,56681438,follows
462096389,56681438,follows
846689779,56681438,follows
251614179,56681438,follows
1076163516,56681438,follows
240159654,56681438,follows
612783460,56681438,follows
470294115,56681438,follows
990673940,56681438,follows
1227940814,56681438,follows
95551165,56681438,follows
60268369,56681438,follows
289571197,56681438,follows
458169759,56681438,follows
1265366742,56681438,follows
957487736,56681438,follows
1404199050,56681438,follows
106481115,56681438,follows
244714611,56681438,follows
1381630009,56681438,follows
1448951012,56681438,follows
18055284,56681438,follows
1448681082,56681438,follows
1422996043,56681438,follows
807852624,56681438,follows
268265762,56681438,follows
1427579455,56681438,follows
320410214,56681438,follows
143763786,56681438,follows
537107462,56681438,follows
1418009233,56681438,follows
450086715,56681438,follows
1055374230,56681438,follows
212394045,56681438,follows
245419980,56681438,follows
211438760,56681438,follows
494933604,56681438,follows
555809606,56681438,follows
550064903,56681438,follows
121403896,56681438,follows
1354750003,56681438,follows
173646113,56681438,follows
1353858961,56681438,follows
213021073,56681438,follows
86510645,56681438,follows
427750296,56681438,follows
53085369,56681438,follows
440103360,56681438,follows
338417053,56681438,follows
295393371,56681438,follows
419018472,56681438,follows
458583458,56681438,follows
516866444,56681438,follows
1213604838,56681438,follows
221815871,56681438,follows
743069876,56681438,follows
1226035687,56681438,follows
368773326,56681438,follows
563228900,56681438,follows
1245705558,56681438,follows
314187591,56681438,follows
513577685,56681438,follows
421291260,56681438,follows
497003704,56681438,follows
1100842957,56681438,follows
327455219,56681438,follows
220708782,56681438,follows
604717713,56681438,follows
17426567,56681438,follows
430604921,56681438,follows
869861376,56681438,follows
728911213,56681438,follows
1015229720,56681438,follows
74412709,56681438,follows
326941825,56681438,follows
982581336,56681438,follows
22048217,56681438,follows
593879580,56681438,follows
584837501,56681438,follows
522417020,56681438,follows
947344730,56681438,follows
508839550,56681438,follows
710423078,56681438,follows
455898802,56681438,follows
928385076,56681438,follows
755531408,56681438,follows
709550558,56681438,follows
425156311,56681438,follows
791573460,56681438,follows
863031162,56681438,follows
813097388,56681438,follows
728804562,56681438,follows
473983413,56681438,follows
890636900,56681438,follows
185340197,56681438,follows
419946721,56681438,follows
872628516,56681438,follows
234323270,56681438,follows
854581129,56681438,follows
548309379,56681438,follows
503122882,56681438,follows
433526213,56681438,follows
177610735,56681438,follows
816220933,56681438,follows
422177114,56681438,follows
216895806,56681438,follows
167436277,56681438,follows
551179595,56681438,follows
322024752,56681438,follows
437533038,56681438,follows
596468348,56681438,follows
377256143,56681438,follows
41099556,56681438,follows
219116106,56681438,follows
238107344,56681438,follows
593556428,56681438,follows
600234891,56681438,follows
302616644,56681438,follows
137689695,56681438,follows
579875848,56681438,follows
26565821,56681438,follows
14542783,56681438,follows
418061874,56681438,follows
150196030,56681438,follows
410297136,56681438,follows
317769975,56681438,follows
134056689,56681438,follows
463961977,56681438,follows
542549005,56681438,follows
509049795,56681438,follows
541513751,56681438,follows
454004007,56681438,follows
520274924,56681438,follows
409821771,56681438,follows
526846726,56681438,follows
242022332,56681438,follows
440161096,56681438,follows
268263382,56681438,follows
460163041,56681438,follows
509934813,56681438,follows
305495015,56681438,follows
472855466,56681438,follows
369083718,56681438,follows
501750078,56681438,follows
69645688,56681438,follows
53070495,56681438,follows
448523530,56681438,follows
47663009,56681438,follows
427433698,56681438,follows
381656189,56681438,follows
204257775,56681438,follows
105096999,56681438,follows
271476597,56681438,follows
1917731,56681438,follows
393783333,56681438,follows
81685180,56681438,follows
466909031,56681438,follows
375549242,56681438,follows
465683082,56681438,follows
280615635,56681438,follows
362357730,56681438,follows
423322052,56681438,follows
458752157,56681438,follows
461266562,56681438,follows
39941540,56681438,follows
226674367,56681438,follows
78720588,56681438,follows
377872873,56681438,follows
360600289,56681438,follows
437131224,56681438,follows
350261672,56681438,follows
673203,56681438,follows
438769341,56681438,follows
54556994,56681438,follows
404842993,56681438,follows
331369987,56681438,follows
418677550,56681438,follows
161396461,56681438,follows
143356398,56681438,follows
100297945,56681438,follows
271085638,56681438,follows
11840202,56681438,follows
165874693,56681438,follows
233231981,56681438,follows
234822279,56681438,follows
406630489,56681438,follows
5539492,56681438,follows
23576147,56681438,follows
399343103,56681438,follows
386294858,56681438,follows
392758440,56681438,follows
363728511,56681438,follows
202974263,56681438,follows
296853024,56681438,follows
38138840,56681438,follows
123677217,56681438,follows
121145156,56681438,follows
376111687,56681438,follows
14146095,56681438,follows
143128188,56681438,follows
31093748,56681438,follows
272701723,56681438,follows
44846660,56681438,follows
325902943,56681438,follows
221340034,56681438,follows
215656501,56681438,follows
70388928,56681438,follows
278489445,56681438,follows
113764203,56681438,follows
122888810,56681438,follows
146448681,56681438,follows
29236618,56681438,follows
140084968,56681438,follows
338682539,56681438,follows
83035851,56681438,follows
332539766,56681438,follows
301986086,56681438,follows
37621971,56681438,follows
325466385,56681438,follows
39461490,56681438,follows
195910497,56681438,follows
257985537,56681438,follows
24157189,56681438,follows
286310333,56681438,follows
312520634,56681438,follows
140171566,56681438,follows
58768691,56681438,follows
67304883,56681438,follows
306887211,56681438,follows
